Speaker,Keynote,Mentor,Judge,First Name,Last Name,ID,Filename,MIT association,Title,Bio,"Marketing permission given?
(Does not influence website visibility)"
Y,N,N,N,Rami,Abi Akl,RamiAbiAkl,rami.jpg,Y,"MIT Mechanical Engineering,
MIT GSW 2017 Lead",,
Y,N,N,N,Dr. Tiranee,Achalakul,Dr.TiraneeAchalakul,tiranee.jpg,N,"Lecturer, King Mongkut's University of Technology Thonburi","Dr. Achalakul works in the fields of data analytics, high performance computing and software development since 2000. She has extended experiences working in IT industry and academia in both the United States and Thailand with two published textbooks and multiple journal and conference papers. During the past 14 years, Dr. Achalakul has been participating in many data analytics and software development projects in both private and public sectors and has served on an advisory board for multiple government agencies. Consulting experiences ranges from the design of data methodologies, software system, to computing infrastructure. She has also served as a committee of the National e-Science Infrastructure Consortium of Thailand.",yes
Y,N,N,N,Natwut,Amornvivat,NatwutAmornvivat,natwut.jpg,N,"Cofounder, T2P LCC and Vice-President, Thai Fintech Association","Mr. Natwut Amornvivat is a cofounder of T2P Company Limited. T2P provides electronic wallet and payment solutions for e-businesses and traditional businesses. The company is also funded by 500 Startups Venture Capital. Examples of products are: “DeepPocket” mobile application that allows people without credit cards to make purchase online using prepaid electronic wallet with partners such as Samsung and MasterCard. Another category of T2P products is a loyalty, eWallet, and AI analytic platform for businesses with corporate customers such as Central Restaurant Group, Samsung, Siam Cement Group, S&P and BarBQ Plaza. T2P has more than 2 million users and accepted by most stores in Thailand through MasterCard network. T2P won awards for innovations and startup businesses such as Pay Award for Payment Innovation in USA, and ASEAN Startup Award. He is the Vice President of Thai Fintech Association, which is responsible for fostering an advancement of financial technology in Thailand with members including major banks and non-bank start-ups.",Yes. Through MIT Alumni (Thailand)
Y,Y,N,N,Ariya,Banomyong,AriyaBanomyong,ariya.jpg,N,"Managing Director, LINE Thailand","Ariya Banomyong joined LINE Thailand in October 2015 as the territory’s first Managing Director. His responsibilities include overseeing business strategies and operations for LINE in Thailand, setting up new ventures, and developing leadership teams. And, in addition to enhancing business opportunities for LINE Thailand, Ariya is also active in building the start-up community and ecosystem in general in Thailand. With 18 years of international experience in technology and mobile, Ariya has a track record of strong leadership and extensive knowledge of the industry. Prior to joining LINE, Ariya was the first Country Head of Google Thailand, where he was responsible for sales and business development. He also served as the Chief Commercial Officer at True Corporation, Thailand’s leading telecom, where he led the company’s convergence strategy. Ariya holds two Master's degrees – one in Mathematics and IT from the University of Marne-La-Vallée in France, and the other in Management from the London School of Economics in the United Kingdom. He also speaks four languages – Thai, English, French and German.",yes 
Y,Y,N,N,Akash,Bhatia,AkashBhatia,akash.jpg,Y,"Co-founder and CEO, Infinite Analytics","Akash Bhatia is the Co-founder & CEO of Infinite Analytics (www.infiniteanalytics.com), a cutting edge AI company with customers across USA, Europe, India, Latin America and Asia. Akash graduated from MIT Sloan in June 2012. Prior to Sloan, Akash is the co-founder of India’s first and largest ticketing company, Kyazoonga (www.kyazoonga.com). Prior to Kyazoonga, Akash was an engineer with Oracle/PeopleSoft in Silicon Valley. He has completed his B.E from College of Engineering, Pune, M.S from University of Cincinnati and an MBA from MIT Sloan.",yes
Y,Y,N,Y,Assaf,Biderman,AssafBiderman,assaf.jpg,Y,"Founder and CEO, Superpedestrian, and Associate Director, Senseable City Lab, MIT","Assaf Biderman is a technology inventor, author, and entrepreneur. He is the founder of Superpedestrian, a robotics company that focuses on the future of personal urban mobility, and co-inventor of the Copenhagen Wheel: MIT's award winning bicycle project and the company’s first product. Superpedestrian has received multiple awards including the Red Dot: Luminary, Time Magazine's 25 Best Inventions of 2014, and the Deutscher Werkbund award. He also teaches at the Massachusetts Institute of Technology, where he is Associate Director of the SENSEable City Laboratory, a research group that explores how technology is changing the way we understand, design and live in cities.",Yes
Y,N,N,Y,Dr. Pun-Arj,Chairatana,Dr.Pun-ArjChairatana,pun.jpg,N,"Director, National Innovation Agency,
Ministry of Science and Technology","Dr. Chairatana (PAC) is Director of National Innovation Agency (NIA). Prior to this, he was founder of Noviscape Consulting Group, and co-founder and program chair for Technology and Innovation Management at Graduate School of Management and Innovation (GMI), King Mongkut’s University of Technology Thonburi (KMUTT). PAC is a member of the International Editorial Board of the Asian Journal of Technology Innovation (AJTI) and Associate Editorial Board for African Journal of Science, Technology, Innovation and Development (AJSTID). As futurist, he has involved with various regional scenario buildings and future exercises since the late 1990s. For example, PAC took part in consulting Vietnamese authority on Aquaculture Foresight. He facilitates various scenarios and roadmapping projects; e.g. a low carbon society in APEC, nutraceutical and automotive electronics roadmaps, a restructure of Ministry of Science and Technology, a shift in Thai lifestyle, and a future of Thailand 2020, including a management of a regional program on Mega-cities foresight in Asia. He also involves with horizon scanning network of the Rockefeller Foundation.",yes
Y,N,Y,N,Ada,Chirapaisarnkul,AdaChirapaisarnkul,ada.JPG,Y,"Managing Director, Taejai.com","Ada is Managing Director of Taejai.com, the largest crowd-giving platform in Thailand, and concurrently serves as ChangeVentures Head of Social Impact Advisory. Prior, she was a University Lecturer and a co-founding executive director of G-Lab (Social Innovation Lab) at Thammasat University. Previously, she was a project manager at the Prime Minister’s Office, leading a multi-sectoral team to develop the first National Master Plan for Social Enterprise Development in Thailand, and later served as Deputy Secretariat of the Sub-Committee on Social Finance. In her free time, she runs Thai Young Philanthropist Network (TYPN), a community of purpose-driven professionals, whose initiatives pioneered the social investment and skill-based volunteering movements in Thailand over the past decade. Ada holds MA in International Affairs from Columbia University, MSc in Environment and Sustainable Development from University College London, and BA in Development Economics from Thammasat University. She is a Rockefeller Foundation Global Fellow on Social Innovation, Asia 21 Young Leader, One Young World Ambassador and Global Shaper of the World Economic Forum.",yes 
Y,N,Y,N,John,Chisholm,JohnChisholm,chisholm.png,Y,"CEO, John Chisholm Ventures","John Chisholm is CEO of John Chisholm Ventures, a San Francisco-based entrepreneurship advisory and angel investment firm. He has three decades of experience as entrepreneur, CEO, and investor. A pioneer in online marketing research, in 1992 he founded and served as CEO/Chairman of Decisive Technology (now part of Google), publisher of the first desktop and client-server software for online surveys. In 1997 he founded and served as CEO/Chairman of CustomerSat (now part of Confirmit), a leading provider of enterprise feedback management systems. He is a trustee of MIT, past president and chair of the worldwide MIT Alumni Association, and a trustee of the Santa Fe Institute. He serves on the visiting committee of the MIT Institute for Data, Systems, and Society, and previously served on the Market Research Council of the Association for Interactive Media. He is author or co-author of two US patents, and of the Amazon best seller, Unleash Your Inner Company: Use Passion and Perseverance to Build Your Ideal Business (Greenleaf, 2015). He holds bachelor's and master's degrees in Electrical Engineering & Computer Science from MIT and an MBA from Harvard Business School. An avid mountain climber, he has summited Mounts Rainier, Shasta, Whitney, St. Helens and a live volcano in Chile.",yes
N,N,Y,Y,Nicola,Crosta,NicolaCrosta,nicolacrosta.jpg,N,"Founder, Baan Dek Foundation","Nicola Crosta is a world-level expert in development economics, social impact and philanthropy. He has over 15 years’ experience working in leading international organizations. Prior to joining Epic, Nicola worked for the United Nations (UNCDF), serving as Representative in Cambodia (2008-2011) and then as global Head of Policy in New York (2011-2014). He co-chaired one of the UN interagency Task Forces that produced the Sustainable Development Goals (SDGs). Nicola served more than a decade at the Organization for Economic Co-Operation and Development (OECD) in Paris. He has written numerous publications and delivered lectures (Harvard, MIT, Sciences Po, HKU) on development economics and philanthropy worldwide. In 2000, he founded the award-winning Kids Home Foundation (Baan Dek in Thai), a social enterprise that provides thousands of migrant children from across South-East Asia with access to education and healthcare. Nicola holds a Masters in Public Administration at Sciences Po (Paris) and a Masters in Business Administration at ESCP (Oxford). He is a passionate kite surfer. He currently lives in Bangkok with his wife and three sons.",Yes
